id,date,number
2143,"Saturday, September 08, 2012",34 44 20 48 6 29
2142,"Wednesday, September 05, 2012",42 4 26 51 19 29
2141,"Saturday, September 01, 2012",8 44 21 11 49 22
2140,"Wednesday, August 29, 2012",49 54 28 25 56 28
2139,"Saturday, August 25, 2012",7 20 6 1 49 23
2138,"Wednesday, August 22, 2012",47 31 22 29 55 19
2137,"Saturday, August 18, 2012",55 41 26 14 59 1
2136,"Wednesday, August 15, 2012",56 27 46 6 51 21
2135,"Saturday, August 11, 2012",51 13 46 39 4 1
2134,"Wednesday, August 08, 2012",7 15 3 11 28 12
2133,"Saturday, August 04, 2012",55 30 53 48 19 18
2132,"Wednesday, August 01, 2012",58 3 56 48 16 4
2131,"Saturday, July 28, 2012",6 50 5 36 13 13
2130,"Wednesday, July 25, 2012",14 3 46 38 35 16
2129,"Saturday, July 21, 2012",9 54 38 56 31 20
2128,"Wednesday, July 18, 2012",5 2 57 23 20 3
2127,"Saturday, July 14, 2012",4 46 16 37 32 13
2126,"Wednesday, July 11, 2012",5 36 49 55 22 23
2125,"Saturday, July 07, 2012",5 3 29 59 39 29
2124,"Wednesday, July 04, 2012",35 19 14 39 56 33
2123,"Saturday, June 30, 2012",20 7 15 41 44 22
2122,"Wednesday, June 27, 2012",58 34 6 46 40 6
2121,"Saturday, June 23, 2012",44 1 53 3 41 30
2120,"Wednesday, June 20, 2012",17 11 29 56 57 14
2119,"Saturday, June 16, 2012",14 16 27 15 8 26
2118,"Wednesday, June 13, 2012",14 57 33 10 7 18
2117,"Saturday, June 09, 2012",56 45 57 22 18 27
2116,"Wednesday, June 06, 2012",59 48 19 33 30 27
2115,"Saturday, June 02, 2012",17 45 10 29 9 33
2114,"Wednesday, May 30, 2012",10 56 9 24 52 14
2113,"Saturday, May 26, 2012",49 59 13 41 14 14
2112,"Wednesday, May 23, 2012",59 7 53 26 4 32
2111,"Saturday, May 19, 2012",46 13 8 51 35 30
2110,"Wednesday, May 16, 2012",21 43 28 3 7 2
2109,"Saturday, May 12, 2012",35 24 58 53 10 22
2108,"Wednesday, May 09, 2012",56 7 1 11 55 1
2107,"Wednesday, May 09, 2012",56 7 1 11 55 1
2106,"Saturday, May 05, 2012",12 59 44 20 9 23
2105,"Wednesday, May 02, 2012",7 33 50 38 8 29
2104,"Saturday, April 28, 2012",57 40 58 31 39 33
2103,"Wednesday, April 25, 2012",29 43 25 4 34 29
2102,"Saturday, April 21, 2012",8 42 51 20 6 16
2101,"Wednesday, April 18, 2012",22 39 49 46 20 29
2100,"Saturday, April 14, 2012",15 16 19 14 24 2
2099,"Wednesday, April 11, 2012",44 42 16 47 23 2
2098,"Saturday, April 07, 2012",13 30 5 20 17 18
2097,"Wednesday, April 04, 2012",33 24 49 45 1 6
2096,"Saturday, March 31, 2012",14 5 58 54 36 27
2095,"Wednesday, March 28, 2012",50 58 16 29 11 33
2094,"Saturday, March 24, 2012",15 37 35 1 47 8
2093,"Wednesday, March 21, 2012",32 43 53 55 56 6
2092,"Saturday, March 17, 2012",11 55 58 14 49 30
2091,"Wednesday, March 14, 2012",1 8 59 46 41 24
2090,"Saturday, March 10, 2012",5 41 20 14 17 5
2089,"Wednesday, March 07, 2012",45 35 47 46 12 12
2088,"Wednesday, March 07, 2012",12 35 45 46 47 12
2087,"Saturday, March 03, 2012",47 30 29 49 45 35
2086,"Wednesday, February 29, 2012",26 1 11 4 23 14
2085,"Saturday, February 25, 2012",54 11 6 42 53 7
2084,"Wednesday, February 22, 2012",17 39 16 7 51 32
2083,"Saturday, February 18, 2012",23 50 28 59 56 5
2082,"Wednesday, February 15, 2012",12 11 32 56 52 11
2081,"Saturday, February 11, 2012",37 52 10 1 57 11
2080,"Wednesday, February 08, 2012",38 51 17 28 39 33
2079,"Saturday, February 04, 2012",23 56 43 45 15 7
2078,"Wednesday, February 01, 2012",8 13 59 17 34 35
2077,"Saturday, January 28, 2012",41 54 59 33 5 13
2076,"Wednesday, January 25, 2012",28 19 29 47 4 5
2075,"Saturday, January 21, 2012",44 12 43 24 45 7
2074,"Wednesday, January 18, 2012",50 34 29 6 44 28
2073,"Saturday, January 14, 2012",41 30 10 36 38 1
2072,"Wednesday, January 11, 2012",47 5 29 45 19 25
2071,"Saturday, January 07, 2012",3 24 38 21 39 24
2070,"Wednesday, January 04, 2012",50 35 21 47 46 2
2069,"Saturday, December 31, 2011",5 25 40 23 28 34
2068,"Wednesday, December 28, 2011",16 27 45 41 21 14
2067,"Saturday, December 24, 2011",52 51 16 14 30 19
2066,"Wednesday, December 21, 2011",31 15 13 54 10 18
2065,"Saturday, December 17, 2011",59 28 51 13 49 33
2064,"Wednesday, December 14, 2011",46 52 24 56 2 19
2063,"Saturday, December 10, 2011",33 41 4 19 59 9
2062,"Wednesday, December 07, 2011",39 20 14 40 3 37
2061,"Saturday, December 03, 2011",18 5 33 43 45 8
2060,"Wednesday, November 30, 2011",47 6 2 34 35 22
2059,"Saturday, November 26, 2011",55 20 37 45 39 28
2058,"Wednesday, November 23, 2011",30 35 57 4 59 25
2057,"Saturday, November 19, 2011",16 9 17 28 30 11
2056,"Wednesday, November 16, 2011",22 25 39 13 51 28
2055,"Saturday, November 12, 2011",56 4 35 51 36 8
2054,"Wednesday, November 09, 2011",58 59 35 5 57 12
2053,"Saturday, November 05, 2011",43 39 2 33 40 26
2052,"Wednesday, November 02, 2011",12 39 14 46 34 36
2051,"Saturday, October 29, 2011",11 40 16 51 56 38
2050,"Wednesday, October 26, 2011",39 21 1 18 55 6
2049,"Saturday, October 22, 2011",8 3 23 30 58 13
2048,"Wednesday, October 19, 2011",26 35 16 52 58 2
2047,"Saturday, October 15, 2011",38 24 5 10 43 1
2046,"Wednesday, October 12, 2011",43 10 12 23 47 18
2045,"Saturday, October 08, 2011",35 3 37 27 45 31
2044,"Wednesday, October 05, 2011",46 7 43 54 20 17
2043,"Saturday, October 01, 2011",27 43 12 23 1 31
2042,"Wednesday, September 28, 2011",41 51 30 50 53 8
2041,"Saturday, September 24, 2011",27 12 3 4 44 26
2040,"Wednesday, September 21, 2011",47 52 55 48 12 13
2039,"Saturday, September 17, 2011",43 22 6 20 32 11
2038,"Wednesday, September 14, 2011",16 50 42 59 41 5
2037,"Saturday, September 10, 2011",32 53 22 4 19 24
2036,"Wednesday, September 07, 2011",54 3 5 27 18 13
2035,"Saturday, September 03, 2011",15 52 25 53 54 2
2034,"Wednesday, August 31, 2011",19 35 57 47 13 29
2033,"Wednesday, August 31, 2011",19 35 57 47 13 29
2032,"Saturday, August 27, 2011",2 54 12 58 25 14
2031,"Wednesday, August 24, 2011",49 53 13 9 47 39
2030,"Saturday, August 20, 2011",23 2 47 28 17 36
2029,"Wednesday, August 17, 2011",31 28 48 18 52 37
2028,"Saturday, August 13, 2011",35 9 50 12 58 4
2027,"Wednesday, August 10, 2011",46 41 36 18 11 38
2026,"Saturday, August 06, 2011",57 59 54 25 30 6
2025,"Wednesday, August 03, 2011",49 19 13 28 21 11
2024,"Saturday, July 30, 2011",55 20 40 47 41 19
2023,"Wednesday, July 27, 2011",40 51 59 41 38 33
2022,"Saturday, July 23, 2011",38 1 48 27 7 30
2021,"Wednesday, July 20, 2011",40 42 38 1 4 17
2020,"Saturday, July 16, 2011",28 48 54 24 50 25
2019,"Wednesday, July 13, 2011",54 18 8 19 32 8
2018,"Saturday, July 09, 2011",31 9 23 1 11 6
2017,"Wednesday, July 06, 2011",55 50 24 11 15 8
2016,"Saturday, July 02, 2011",11 29 1 51 18 32
2015,"Wednesday, June 29, 2011",30 24 57 59 45 26
2014,"Saturday, June 25, 2011",18 39 57 36 41 12
2013,"Wednesday, June 22, 2011",59 12 46 19 15 12
2012,"Saturday, June 18, 2011",22 38 21 12 41 18
2011,"Wednesday, June 15, 2011",41 43 20 19 38 29
2010,"Saturday, June 11, 2011",50 16 18 36 27 8
2009,"Wednesday, June 08, 2011",53 37 14 44 45 29
2008,"Wednesday, June 08, 2011",53 37 14 44 45 29
2007,"Saturday, June 04, 2011",17 58 39 19 41 21
2006,"Wednesday, June 01, 2011",56 38 46 8 18 31
2005,"Saturday, May 28, 2011",43 12 20 51 55 11
2004,"Wednesday, May 25, 2011",50 4 31 42 23 23
2003,"Saturday, May 21, 2011",8 49 2 40 50 36
2002,"Wednesday, May 18, 2011",7 12 42 49 13 16
2001,"Saturday, May 14, 2011",40 18 17 8 44 16
2000,"Wednesday, May 11, 2011",43 32 9 45 17 31
1999,"Saturday, May 07, 2011",11 55 47 2 27 15
1998,"Wednesday, May 04, 2011",15 41 29 27 3 24
1997,"Saturday, April 30, 2011",41 15 6 13 32 3
1996,"Wednesday, April 27, 2011",40 44 55 24 4 5
1995,"Saturday, April 23, 2011",58 11 3 48 47 19
1994,"Wednesday, April 20, 2011",9 24 43 34 36 27
1993,"Saturday, April 16, 2011",21 55 33 45 44 7
1992,"Wednesday, April 13, 2011",4 49 39 50 23 39
1991,"Saturday, April 09, 2011",53 5 56 14 32 11
1990,"Wednesday, April 06, 2011",56 18 55 10 41 15
1989,"Saturday, April 02, 2011",43 22 34 6 45 23
1988,"Wednesday, March 30, 2011",58 56 20 19 42 37
1987,"Saturday, March 26, 2011",10 4 11 33 19 27
1986,"Wednesday, March 23, 2011",15 28 5 26 32 9
1985,"Saturday, March 19, 2011",11 20 46 27 3 8
1984,"Wednesday, March 16, 2011",53 28 48 39 40 9
1983,"Saturday, March 12, 2011",4 41 1 12 47 3
1982,"Wednesday, March 09, 2011",12 20 28 40 48 8
1981,"Saturday, March 05, 2011",42 31 23 48 2 21
1980,"Wednesday, March 02, 2011",50 58 7 31 51 6
1979,"Saturday, February 26, 2011",4 45 21 17 13 10
1978,"Wednesday, February 23, 2011",32 36 39 29 49 29
1977,"Saturday, February 19, 2011",12 34 3 42 37 36
1976,"Wednesday, February 16, 2011",23 48 21 9 13 24
1975,"Saturday, February 12, 2011",32 52 36 48 11 19
1974,"Wednesday, February 09, 2011",51 39 42 11 7 30
1973,"Saturday, February 05, 2011",15 41 59 37 56 5
1972,"Wednesday, February 02, 2011",33 57 53 3 14 36
1971,"Saturday, January 29, 2011",28 45 24 52 49 2
1970,"Wednesday, January 26, 2011",4 47 58 5 36 6
1969,"Saturday, January 22, 2011",34 30 51 31 45 23
1968,"Wednesday, January 19, 2011",36 51 56 22 59 32
1967,"Saturday, January 15, 2011",22 13 9 37 23 31
1966,"Wednesday, January 12, 2011",48 23 40 21 19 27
1965,"Saturday, January 08, 2011",7 52 6 33 26 24
1964,"Wednesday, January 05, 2011",40 22 32 26 38 7
1963,"Saturday, January 01, 2011",37 47 18 22 54 36
1962,"Wednesday, December 29, 2010",18 37 20 16 3 30
1961,"Saturday, December 25, 2010",52 50 1 38 17 24
1960,"Wednesday, December 22, 2010",33 11 44 47 46 12
1959,"Saturday, December 18, 2010",43 19 4 11 33 14
1958,"Wednesday, December 15, 2010",32 18 45 10 11 18
1957,"Saturday, December 11, 2010",1 8 19 10 20 23
1956,"Wednesday, December 08, 2010",25 8 11 58 41 16
1955,"Saturday, December 04, 2010",27 24 42 31 13 22
1954,"Wednesday, December 01, 2010",10 5 12 11 20 2
1953,"Saturday, November 27, 2010",47 37 30 54 10 39
1952,"Wednesday, November 24, 2010",20 8 21 37 32 4
1951,"Saturday, November 20, 2010",12 10 38 53 57 1
1950,"Wednesday, November 17, 2010",14 59 54 53 16 5
1949,"Saturday, November 13, 2010",30 51 17 48 54 29
1948,"Wednesday, November 10, 2010",5 8 44 40 11 10
1947,"Saturday, November 06, 2010",7 12 23 34 38 33
1946,"Wednesday, November 03, 2010",34 45 38 39 50 33
1945,"Saturday, October 30, 2010",49 7 27 1 36 39
1944,"Wednesday, October 27, 2010",25 24 20 59 53 15
1943,"Saturday, October 23, 2010",20 2 46 7 16 34
1942,"Wednesday, October 20, 2010",20 39 7 17 59 17
1941,"Saturday, October 16, 2010",28 16 12 11 15 11
1940,"Wednesday, October 13, 2010",46 34 32 22 12 2
1939,"Saturday, October 09, 2010",42 32 49 6 2 35
1938,"Wednesday, October 06, 2010",26 41 14 37 46 24
1937,"Saturday, October 02, 2010",30 12 36 20 47 25
1936,"Wednesday, September 29, 2010",52 13 55 44 51 30
1935,"Saturday, September 25, 2010",8 35 27 16 42 30
1934,"Wednesday, September 22, 2010",10 36 52 24 55 15
1933,"Saturday, September 18, 2010",18 44 1 39 37 13
1932,"Wednesday, September 15, 2010",7 20 21 34 43 34
1931,"Saturday, September 11, 2010",36 20 59 17 7 33
1930,"Wednesday, September 08, 2010",10 57 51 35 39 20
1929,"Saturday, September 04, 2010",33 22 42 14 11 38
1928,"Wednesday, September 01, 2010",40 20 21 17 51 19
1927,"Saturday, August 28, 2010",32 56 4 27 22 13
1926,"Wednesday, August 25, 2010",17 36 29 16 31 23
1925,"Saturday, August 21, 2010",7 22 10 27 12 26
1924,"Wednesday, August 18, 2010",47 4 33 32 55 39
1923,"Saturday, August 14, 2010",9 33 36 50 58 31
1922,"Wednesday, August 11, 2010",22 52 10 23 7 29
1921,"Saturday, August 07, 2010",52 26 31 22 4 30
1920,"Wednesday, August 04, 2010",53 30 19 37 28 36
1919,"Saturday, July 31, 2010",1 57 16 41 17 15
1918,"Wednesday, July 28, 2010",1 11 20 27 25 2
1917,"Saturday, July 24, 2010",59 30 46 38 20 27
1916,"Wednesday, July 21, 2010",16 58 22 30 51 25
1915,"Saturday, July 17, 2010",27 37 22 45 35 3
1914,"Wednesday, July 14, 2010",21 23 38 20 42 6
1913,"Saturday, July 10, 2010",28 21 20 56 27 4
1912,"Wednesday, July 07, 2010",10 41 44 56 48 4
1911,"Saturday, July 03, 2010",52 53 3 14 10 3
1910,"Wednesday, June 30, 2010",38 43 6 48 47 27
1909,"Saturday, June 26, 2010",57 30 13 38 32 25
1908,"Wednesday, June 23, 2010",48 11 45 30 47 10
1907,"Saturday, June 19, 2010",54 31 9 30 50 39
1906,"Wednesday, June 16, 2010",29 18 11 36 8 6
1905,"Saturday, June 12, 2010",38 13 12 9 35 30
1904,"Wednesday, June 09, 2010",22 49 27 14 32 5
1903,"Saturday, June 05, 2010",18 34 40 59 48 25
1902,"Wednesday, June 02, 2010",39 14 43 9 4 38
1901,"Saturday, May 29, 2010",24 3 28 1 41 10
1900,"Wednesday, May 26, 2010",6 20 10 1 13 32
1899,"Saturday, May 22, 2010",20 19 47 57 40 29
1898,"Wednesday, May 19, 2010",7 58 55 29 2 27
1897,"Saturday, May 15, 2010",28 15 36 23 21 20
1896,"Wednesday, May 12, 2010",52 58 53 37 51 38
1895,"Saturday, May 08, 2010",41 5 57 34 22 31
1894,"Wednesday, May 05, 2010",47 13 34 40 57 11
1893,"Saturday, May 01, 2010",23 25 16 49 58 20
1892,"Wednesday, April 28, 2010",28 44 12 22 25 24
1891,"Saturday, April 24, 2010",57 56 1 53 12 5
1890,"Wednesday, April 21, 2010",11 34 55 41 49 20
1889,"Saturday, April 17, 2010",22 41 49 21 5 15
1888,"Wednesday, April 14, 2010",14 6 32 52 38 20
1887,"Saturday, April 10, 2010",21 22 52 49 58 34
1886,"Wednesday, April 07, 2010",36 52 44 4 40 33
1885,"Saturday, April 03, 2010",10 15 31 52 59 4
1884,"Wednesday, March 31, 2010",13 45 54 5 17 12
1883,"Saturday, March 27, 2010",21 7 32 52 44 10
1882,"Wednesday, March 24, 2010",14 49 39 24 20 7
1881,"Saturday, March 20, 2010",9 36 44 45 39 9
1880,"Wednesday, March 17, 2010",55 26 48 45 24 8
1879,"Saturday, March 13, 2010",16 36 20 6 31 8
1878,"Wednesday, March 10, 2010",41 37 17 50 21 1
1877,"Saturday, March 06, 2010",41 33 10 59 29 15
1876,"Wednesday, March 03, 2010",14 49 9 7 45 23
1875,"Saturday, February 27, 2010",47 18 58 53 51 30
1874,"Wednesday, February 24, 2010",50 17 57 35 4 12
1873,"Saturday, February 20, 2010",13 54 41 37 27 32
1872,"Wednesday, February 17, 2010",36 7 26 8 19 15
1871,"Saturday, February 13, 2010",14 10 40 51 30 1
1870,"Wednesday, February 10, 2010",29 8 37 38 5 34
1869,"Saturday, February 06, 2010",22 54 52 14 59 4
1868,"Wednesday, February 03, 2010",37 52 22 36 17 24
1867,"Saturday, January 30, 2010",26 35 48 47 6 21
1866,"Wednesday, January 27, 2010",15 26 31 6 20 9
1865,"Saturday, January 23, 2010",53 16 15 42 20 17
1864,"Wednesday, January 20, 2010",46 15 43 44 32 19
1863,"Saturday, January 16, 2010",41 8 7 55 23 23
1862,"Wednesday, January 13, 2010",32 15 8 11 50 27
1861,"Saturday, January 09, 2010",41 44 20 54 50 22
1860,"Wednesday, January 06, 2010",56 27 29 20 58 31
1859,"Saturday, January 02, 2010",23 3 7 42 27 37
1858,"Wednesday, December 30, 2009",5 52 14 38 39 6
1857,"Saturday, December 26, 2009",53 41 36 32 37 30
1856,"Wednesday, December 23, 2009",52 8 49 51 32 23
1855,"Saturday, December 19, 2009",24 41 17 47 39 21
1854,"Wednesday, December 16, 2009",23 43 25 35 13 15
1853,"Saturday, December 12, 2009",14 41 12 13 35 29
1852,"Wednesday, December 09, 2009",58 12 5 1 13 21
1851,"Saturday, December 05, 2009",41 58 27 39 44 17
1850,"Wednesday, December 02, 2009",37 46 14 34 55 37
1849,"Saturday, November 28, 2009",46 50 27 28 26 21
1848,"Wednesday, November 25, 2009",18 13 4 59 49 5
1847,"Saturday, November 21, 2009",26 36 7 49 58 4
1846,"Wednesday, November 18, 2009",58 59 32 50 42 31
1845,"Saturday, November 14, 2009",57 30 19 48 32 14
1844,"Wednesday, November 11, 2009",12 8 22 29 14 22
1843,"Saturday, November 07, 2009",32 37 46 50 7 26
1842,"Wednesday, November 04, 2009",51 10 45 11 14 17
1841,"Saturday, October 31, 2009",19 26 54 41 2 23
1840,"Wednesday, October 28, 2009",51 46 26 3 11 23
1839,"Saturday, October 24, 2009",38 22 59 49 14 16
1838,"Wednesday, October 21, 2009",34 51 45 6 16 4
1837,"Saturday, October 17, 2009",16 5 49 30 25 39
1836,"Wednesday, October 14, 2009",15 30 5 40 25 6
1835,"Saturday, October 10, 2009",45 49 50 13 32 30
1834,"Wednesday, October 07, 2009",2 50 38 21 20 22
1833,"Saturday, October 03, 2009",50 57 24 12 48 22
1832,"Wednesday, September 30, 2009",52 54 41 42 57 30
1831,"Saturday, September 26, 2009",34 20 36 39 18 19
1830,"Wednesday, September 23, 2009",7 8 29 20 25 11
1829,"Saturday, September 19, 2009",25 24 49 30 5 23
1828,"Wednesday, September 16, 2009",17 56 37 40 51 25
1827,"Saturday, September 12, 2009",13 28 56 41 38 25
1826,"Wednesday, September 09, 2009",16 18 51 53 4 23
1825,"Saturday, September 05, 2009",35 27 16 9 57 29
1824,"Wednesday, September 02, 2009",23 47 36 18 59 36
1823,"Saturday, August 29, 2009",1 53 20 37 52 33
1822,"Wednesday, August 26, 2009",43 23 1 21 30 11
1821,"Saturday, August 22, 2009",6 51 3 20 32 23
1820,"Wednesday, August 19, 2009",43 14 31 51 24 27
1819,"Saturday, August 15, 2009",14 26 32 15 36 12
1818,"Wednesday, August 12, 2009",32 10 25 47 34 5
1817,"Saturday, August 08, 2009",45 37 50 33 4 11
1816,"Wednesday, August 05, 2009",34 25 41 49 46 29
1815,"Saturday, August 01, 2009",53 37 46 39 5 8
1814,"Wednesday, July 29, 2009",38 2 43 5 59 8
1813,"Saturday, July 25, 2009",33 5 52 46 17 9
1812,"Wednesday, July 22, 2009",6 22 4 16 32 11
1811,"Saturday, July 18, 2009",21 26 47 4 28 37
1810,"Wednesday, July 15, 2009",26 50 57 52 51 37
1809,"Saturday, July 11, 2009",39 1 4 42 20 2
1808,"Wednesday, July 08, 2009",50 56 42 53 19 39
1807,"Saturday, July 04, 2009",22 4 41 44 9 14
1806,"Wednesday, July 01, 2009",38 53 9 52 32 15
1805,"Saturday, June 27, 2009",48 39 26 18 22 17
1804,"Wednesday, June 24, 2009",53 24 51 16 18 16
1803,"Saturday, June 20, 2009",28 22 3 11 18 33
1802,"Wednesday, June 17, 2009",53 9 37 5 42 27
1801,"Saturday, June 13, 2009",20 41 13 35 16 6
1800,"Wednesday, June 10, 2009",26 42 58 27 15 37
1799,"Saturday, June 06, 2009",45 10 23 30 18 2
1798,"Wednesday, June 03, 2009",22 20 32 16 37 9
1797,"Saturday, May 30, 2009",51 42 1 59 23 20
1796,"Wednesday, May 27, 2009",5 16 6 21 12 7
1795,"Saturday, May 23, 2009",52 19 57 34 23 21
1794,"Wednesday, May 20, 2009",23 30 42 35 31 6
1793,"Saturday, May 16, 2009",6 7 40 56 31 38
1792,"Wednesday, May 13, 2009",30 40 37 32 19 37
1791,"Saturday, May 09, 2009",49 32 4 15 58 21
1790,"Wednesday, May 06, 2009",12 7 22 31 8 18
1789,"Saturday, May 02, 2009",45 20 38 42 3 27
1788,"Wednesday, April 29, 2009",6 36 50 19 59 13
1787,"Saturday, April 25, 2009",52 42 30 8 26 15
1786,"Wednesday, April 22, 2009",30 15 48 22 37 12
